,Team,Name,Jersey,Position,Height (ft),Weight (lb),Salary,Age,Birth Date,Birth Location
23,NO,Zion Williamson,1,PF,"6' 6""",284,"$34,005,250",23,2000-07-06,"Salisbury, North Carolina"
25,NO,Matt Ryan,37,F,"6' 6""",215,--,27,1997-04-17,"White Plains, New York"
26,NO,Jeremiah Robinson-Earl,50,F,"6' 9""",240,"$2,196,970",23,2000-11-03,"Kansas City, Missouri"
27,NO,Antonio Reeves,--,G,"6' 5""",187,--,23,2000-11-20,"Chicago, Illinois"
28,NO,Dejounte Murray,--,SG,"6' 5""",180,"$18,214,000",27,1996-09-19,"Seattle, Washington"
29,NO,Trey Murphy III,25,SG,"6' 8""",206,"$3,359,280",24,2000-06-18,"Durham, North Carolina"
30,NO,Yves Missi,--,C,"6' 11""",235,--,20,2004-05-14,"Brussels, Belgium"
31,NO,CJ McCollum,3,SG,"6' 3""",190,"$35,802,469",32,1991-09-19,"Canton, Ohio"
32,NO,Herbert Jones,5,SF,"6' 7""",206,"$12,015,150",25,1998-10-06,"Tuscaloosa, Alabama"
33,NO,Brandon Ingram,14,SF,"6' 8""",190,"$33,833,400",26,1997-09-02,"Kinston, North Carolina"
34,NO,Malcolm Hill,33,G,"6' 6""",220,--,28,1995-10-26,"St. Louis, Missouri"
35,NO,Jordan Hawkins,24,G,"6' 5""",190,"$4,310,160",22,2002-04-29,"Gaithersburg, Maryland"
36,NO,Jalen Crutcher,10,G,"6' 2""",175,--,24,1999-07-18,"Memphis, Tennessee"
37,NO,Izaiah Brockington,21,G,"6' 4""",200,--,24,1999-07-12,"Towson, Maryland"
38,NO,Jose Alvarado,15,PG,"6' 0""",179,"$1,836,096",26,1998-04-12,"Brooklyn, New York"
39,MEM,Vince Williams Jr.,5,G,"6' 4""",205,"$2,232,308",23,2000-08-30,"Toledo, Ohio"
40,MEM,Ziaire Williams,8,F,"6' 9""",185,"$4,810,200",22,2001-09-12,"Lancaster, California"
41,MEM,Jaylen Wells,0,F,"6' 7""",205,--,20,2003-08-26,"Sacramento, California"
44,MEM,Cam Spencer,24,G,"6' 3""",202,--,24,2000-04-06,"Davidsonville, Maryland"
45,MEM,Marcus Smart,36,PG,"6' 3""",220,"$18,833,712",30,1994-03-06,"Flower Mound, Texas"
46,MEM,Derrick Rose,23,PG,"6' 3""",200,"$3,196,448",35,1988-10-04,"Chicago, Illinois"
47,MEM,Scotty Pippen Jr.,--,G,"6' 1""",170,--,23,2000-11-10,"Portland, Oregon"
48,MEM,Ja Morant,12,PG,"6' 2""",174,"$34,005,250",24,1999-08-10,"Dalzell, South Carolina"
49,MEM,Jake LaRavia,3,F,"6' 7""",235,"$3,199,920",22,2001-11-03,"Pasadena, California"
50,MEM,John Konchar,46,SG,"6' 5""",210,"$2,400,000",28,1996-03-22,"Chicago, Illinois"
52,MEM,Trey Jemison,55,C,"6' 11""",260,--,24,1999-11-28,"Birmingham, Alabama"
53,MEM,Jaren Jackson Jr.,13,PF,"6' 10""",242,"$27,102,202",56,1967-10-27,"New Orleans, Louisiana"
54,MEM,GG Jackson,45,F,"6' 9""",210,"$1,991,428",19,2004-12-17,"Columbia, South Carolina"
56,MEM,Zach Edey,14,C,"7' 4""",300,--,22,2002-05-14,"Toronto, Canada"
57,MEM,Brandon Clarke,15,PF,"6' 8""",215,"$12,500,000",27,1996-09-19,"Vancouver, British Columbia"
58,MEM,Desmond Bane,22,SG,"6' 5""",215,"$3,845,083",26,1998-06-25,"Richmond, Indiana"
59,MEM,Santi Aldama,7,PF,"7' 0""",215,"$2,194,200",23,2001-01-10,"Las Palmas, Spain"
60,WSH,Bub Carrington,--,G,"6' 4""",190,--,18,2005-07-21,"Baltimore, Maryland"
61,HOU,Nate Williams,19,G,"6' 5""",205,--,74,1950-05-02,"Columbia, Louisiana"
62,HOU,Cam Whitmore,7,F,"6' 7""",230,"$3,218,160",19,2004-07-08,"Odenton, Maryland"
63,HOU,Fred VanVleet,5,PG,"6' 0""",197,"$40,806,300",30,1994-02-25,"Rockford, Illinois"
64,HOU,Amen Thompson,1,F,"6' 7""",200,"$8,809,320",21,2003-01-30,"San Leandro, California"
65,HOU,Jae'Sean Tate,8,SF,"6' 4""",230,"$6,500,000",28,1995-10-28,"Toledo, Ohio"
66,HOU,Jabari Smith Jr.,10,PF,"6' 11""",220,"$9,326,520",47,1977-02-12,"Atlanta, Georgia"
67,HOU,Reed Sheppard,--,G,"6' 2""",187,--,20,2004-06-24,"London, Kentucky"
68,HOU,Alperen Sengun,28,C,"6' 11""",243,"$3,536,280",21,2002-07-25,"Giresun, Turkey"
69,HOU,Jermaine Samuels Jr.,00,F,"6' 6""",230,--,25,1998-11-13,"Franklin, Massachusetts"
71,HOU,Jock Landale,2,C,"6' 11""",255,"$8,000,000",28,1995-10-25,"E Malvern, Australia"
72,HOU,Aaron Holiday,0,G,"6' 0""",185,"$2,019,706",27,1996-09-30,"Ruston, Louisiana"
74,HOU,AJ Griffin,14,F,"6' 6""",220,"$3,712,920",20,2003-08-25,"Dallas, Texas"
75,HOU,Jeff Green,32,PF,"6' 8""",235,"$9,600,000",37,1986-08-28,"Cheverly, Maryland"
76,HOU,Jalen Green,4,SG,"6' 4""",186,"$9,891,480",22,2002-02-09,"Merced, California"
77,HOU,Tari Eason,17,F,"6' 8""",215,"$3,527,160",23,2001-05-10,"Portsmouth, Virginia"
78,HOU,Reggie Bullock Jr.,25,SF,"6' 6""",205,"$2,019,706",33,1991-03-16,"Baltimore, Maryland"
79,HOU,Dillon Brooks,9,SF,"6' 6""",225,"$22,627,671",28,1996-01-22,"Mississauga, Ontario"
80,HOU,Steven Adams,12,C,"6' 11""",265,"$12,600,000",30,1993-07-20,"Rotorua, New Zealand"
81,DAL,Maxi Kleber,42,PF,"6' 10""",240,"$11,000,000",32,1992-01-29,"Wurzburg, Germany"
82,LAL,Bronny James,9,G,"6' 2""",210,--,19,2004-10-06,"Akron, Ohio"
83,LAL,Jalen Hood-Schifino,0,G,"6' 5""",215,"$3,695,040",21,2003-06-19,"Pittsburgh, Pennsylvania"
84,UTAH,Taylor Hendricks,0,F,"6' 9""",215,"$5,569,920",20,2003-11-22,"Fort Lauderdale, Florida"
85,TOR,Sasha Vezenkov,--,F,"6' 8""",225,"$6,341,464",28,1995-08-06,"Lefkosia, Cyprus"
86,ATL,Clint Capela,15,C,"6' 10""",256,"$20,616,000",30,1994-05-18,"Geneva, Switzerland"
87,SAC,Devin Carter,--,G,"6' 2""",195,--,22,2002-03-18,"West Palm Beach, Florida"
89,DAL,P.J. Washington,25,PF,"6' 7""",230,"$16,847,826",25,1998-08-23,"Louisville, Kentucky"
90,DAL,Klay Thompson,11,SG,"6' 6""",220,"$43,219,440",34,1990-02-08,"Los Angeles, California"
91,DAL,Olivier-Maxence Prosper,18,F,"6' 7""",230,"$2,733,360",22,2002-07-03,"Montreal, Canada"
92,DAL,Dwight Powell,7,C,"6' 10""",240,"$4,000,000",32,1991-07-20,"Toronto, Ontario"
94,DAL,Naji Marshall,--,SF,"6' 6""",220,"$1,930,681",26,1998-01-24,"Atlantic City, New Jersey"
95,DAL,Dereck Lively II,2,C,"7' 1""",230,"$4,775,640",20,2004-02-12,"Philadelphia, Pennsylvania"
96,DAL,A.J. Lawson,9,G,"6' 6""",179,"$1,000,000",23,2000-07-15,"Toronto, Ontario"
97,DAL,Kyrie Irving,11,PG,"6' 2""",195,"$37,037,037",32,1992-03-23,"Melbourne, Australia"
98,DAL,Jaden Hardy,1,G,"6' 3""",198,"$1,719,864",21,2002-07-05,"Detroit, Michigan"
99,DAL,Quentin Grimes,--,SG,"6' 5""",210,"$2,385,720",24,2000-05-08,"Houston, Texas"
100,DAL,Daniel Gafford,21,C,"6' 10""",234,"$12,402,000",25,1998-10-01,"El Dorado, Arkansas"
101,DAL,Alex Fudge,3,F,"6' 8""",200,--,21,2003-05-06,"Jacksonville, Florida"
102,DAL,Dante Exum,0,G,"6' 5""",214,"$3,000,000",28,1995-07-13,"Melbourne, Australia"
103,DAL,Luka Doncic,77,PG,"6' 7""",230,"$40,064,220",25,1999-02-28,"Ljubljana, Slovenia"
105,DAL,Melvin Ajinca,--,G,"6' 8""",218,--,20,2004-06-26,"Villeneuve-Saint-Georges, France"
106,WSH,Justin Champagnie,99,SF,"6' 6""",206,--,23,2001-06-29,"Brooklyn, New York"
112,BOS,Jaylen Brown,7,SG,"6' 6""",223,"$31,830,357",27,1996-10-24,"Marietta, Georgia"
113,BOS,JD Davison,20,SG,"6' 1""",195,--,21,2002-10-03,"Montgomery, Alabama"
114,BOS,Sam Hauser,30,SF,"6' 7""",217,"$1,927,896",26,1997-12-08,"Green Bay, Wisconsin"
115,BOS,Jrue Holiday,4,PG,"6' 4""",205,"$36,861,707",34,1990-06-12,"Chatsworth, California"
116,BOS,Al Horford,42,C,"6' 9""",240,"$10,000,000",38,1986-06-03,"Puerto Plata, Dominican Republic"
117,BOS,Luke Kornet,40,C,"7' 1""",250,"$2,413,304",28,1995-07-15,"Lantana, Texas"
120,BOS,Kristaps Porzingis,8,C,"7' 2""",240,"$36,016,200",28,1995-08-02,"Liepaja, Latvia"
121,BOS,Payton Pritchard,11,PG,"6' 1""",195,"$4,037,278",26,1998-01-28,"Tualatin, Oregon"
122,BOS,Neemias Queta,88,C,"7' 0""",248,--,24,1999-07-13,"Lisbon, Portugal"
123,BOS,Baylor Scheierman,--,F,"6' 6""",205,--,23,2000-09-26,"Hastings, Nebraska"
124,BOS,Jaden Springer,44,G,"6' 4""",202,"$2,226,240",21,2002-09-25,"Charlotte, North Carolina"
125,BOS,Jayson Tatum,0,SF,"6' 8""",210,"$32,600,060",26,1998-03-03,"St. Louis, Missouri"
126,BOS,Xavier Tillman,26,F,"6' 7""",245,"$1,930,681",25,1999-01-12,"Grand Rapids, Michigan"
127,BOS,Jordan Walsh,27,G,"6' 6""",205,"$1,119,563",20,2004-03-03,"DeSoto, Texas"
128,BOS,Anton Watson,--,F,"6' 8""",230,--,23,2000-10-06,"Coeur d'Alene, Idaho"
129,BOS,Derrick White,9,PG,"6' 4""",190,"$18,357,143",30,1994-07-02,"Parker, Colorado"
130,BKN,Keita Bates-Diop,13,SF,"6' 8""",229,"$2,364,614",28,1996-01-23,"Bloomington, Illinois"
131,BKN,Bojan Bogdanovic,44,SF,"6' 7""",226,"$20,000,000",35,1989-04-18,"Mostar, Bosnia and Herzegovina"
132,BKN,Nic Claxton,33,C,"6' 11""",215,"$9,625,000",25,1999-04-17,"Greenville, South Carolina"
133,BKN,Noah Clowney,21,F,"6' 9""",210,"$3,089,520",19,2004-07-14,"Spartanburg, South Carolina"
134,BKN,Dorian Finney-Smith,28,PF,"6' 7""",220,"$13,932,008",31,1993-05-04,"Portsmouth, Virginia"
136,BKN,Cameron Johnson,2,SF,"6' 8""",210,"$25,679,348",28,1996-03-03,"Moon Township, Pennsylvania"
138,BKN,Jaylen Martin,16,G,"6' 6""",216,--,20,2004-01-28,"Quincy, Florida"
139,BKN,Dennis Schroder,17,PG,"6' 1""",175,"$12,405,000",30,1993-09-15,"Braunschweig, Germany"
140,BKN,Day'Ron Sharpe,20,C,"6' 9""",265,"$2,210,040",22,2001-11-06,"Greenville, North Carolina"
141,BKN,Ben Simmons,10,PG,"6' 10""",240,"$37,893,408",27,1996-07-20,"Melbourne, Australia"
143,BKN,Cam Thomas,24,SG,"6' 3""",210,"$2,240,160",22,2001-10-13,"Yokosuka, Japan"
146,BKN,Dariq Whitehead,0,F,"6' 6""",220,"$2,966,040",19,2004-08-01,"Newark, New Jersey"
147,BKN,Jalen Wilson,22,F,"6' 6""",220,"$850,000",23,2000-11-04,"Arlington, Texas"
149,NY,OG Anunoby,8,SF,"6' 7""",240,"$18,642,857",26,1997-07-17,"London, United Kingdom"
150,NY,Mikal Bridges,1,SF,"6' 6""",209,"$21,700,000",27,1996-08-30,"Philadelphia, Pennsylvania"
152,NY,Jalen Brunson,11,PG,"6' 2""",190,"$26,346,666",27,1996-08-31,"New Brunswick, New Jersey"
154,NY,Pacome Dadiet,--,G,"6' 7""",--,--,18,2005-07-27,"Aubagne, France"
155,NY,Donte DiVincenzo,0,SG,"6' 4""",203,"$10,960,000",27,1997-01-31,"Newark, Delaware"
156,NY,Mamadi Diakite,21,F,"6' 9""",228,--,27,1997-01-21,"Conakry, Guinea"
157,NY,Josh Hart,3,SG,"6' 4""",215,"$12,960,000",29,1995-03-06,"Silver Spring, Maryland"
158,NY,Ariel Hukporti,--,C,"6' 11""",246,--,22,2002-04-11,"Stralsund, Germany"
160,NY,Tyler Kolek,--,G,"6' 1""",195,--,23,2001-03-27,"Providence, Rhode Island"
161,NY,Miles McBride,2,PG,"6' 1""",195,"$1,836,096",23,2000-09-08,"Cincinnati, Ohio"
162,NY,Kevin McCullar Jr.,--,F,"6' 5""",206,--,23,2001-03-15,"San Antonio, Texas"
164,NY,Julius Randle,30,PF,"6' 8""",250,"$28,226,880",29,1994-11-29,"Dallas, Texas"
165,NY,Mitchell Robinson,23,C,"7' 0""",240,"$15,681,818",26,1998-04-01,"Pensacola, Florida"
166,NY,Jericho Sims,45,C,"6' 10""",250,"$1,927,896",25,1998-10-20,"Minneapolis, Minnesota"
169,PHI,Adem Bona,30,C,"6' 8""",243,--,21,2003-03-28,"Lagos, Nigeria"
170,PHI,Ricky Council IV,16,G,"6' 6""",207,--,22,2001-08-03,"Durham, North Carolina"
172,PHI,Jeff Dowtin Jr.,11,G,"6' 3""",177,--,27,1997-05-10,"Upper Marlboro, Maryland"
173,PHI,Andre Drummond,--,C,"6' 11""",279,"$3,360,000",30,1993-08-10,"Mount Vernon, New York"
174,PHI,Joel Embiid,21,C,"7' 0""",280,"$46,900,000",30,1994-03-16,"Yaounde, Cameroon"
175,PHI,Paul George,--,F,"6' 8""",220,"$45,640,084",34,1990-05-02,"Palmdale, California"
178,PHI,KJ Martin,1,F,"6' 6""",215,"$1,930,681",23,2001-01-06,"Gardena, California"
179,PHI,Tyrese Maxey,0,PG,"6' 2""",200,"$4,343,920",23,2000-11-04,"Dallas, Texas"
180,PHI,Jared McCain,20,G,"6' 2""",203,--,20,2004-02-20,"Sacramento, California"
181,PHI,Kelly Oubre Jr.,9,SG,"6' 7""",203,"$2,019,706",28,1995-12-09,"New Orleans, Louisiana"
183,PHI,Paul Reed,44,SF,"6' 9""",210,"$7,723,000",25,1999-06-14,"Orlando, Florida"
185,PHI,D.J. Wilson,20,F,"6' 10""",230,--,28,1996-02-19,"Mount Shasta, California"
186,TOR,Ochai Agbaji,30,G,"6' 5""",215,"$4,114,200",24,2000-04-20,"Milwaukee, Wisconsin"
187,TOR,Scottie Barnes,4,SF,"6' 7""",237,"$8,008,560",22,2001-08-01,"West Palm Beach, Florida"
188,TOR,RJ Barrett,9,SG,"6' 6""",214,"$23,883,929",24,2000-06-14,"Toronto, Ontario"
189,TOR,Chris Boucher,25,PF,"6' 9""",200,"$11,750,000",31,1993-01-11,"Castries, Saint Lucia"
190,TOR,Bruce Brown,11,SF,"6' 4""",202,"$22,000,000",27,1996-08-15,"Boston, Massachusetts"
191,TOR,D.J. Carton,3,G,"6' 3""",200,--,23,2000-08-05,"Pineville, North Carolina"
192,TOR,Ulrich Chomche,--,C,"6' 10""",232,--,18,2005-12-30,"Baham, Cameroon"
193,TOR,Gradey Dick,1,G,"6' 6""",200,"$4,536,720",20,2003-11-20,"Wichita, Kansas"
194,TOR,Javon Freeman-Liberty,0,G,"6' 3""",190,"$289,542",24,1999-10-20,"Chicago, Illinois"
195,TOR,Mouhamadou Gueye,16,F,"6' 9""",210,--,25,1998-07-06,"Staten Island, New York"
196,TOR,Christian Koloko,35,C,"7' 0""",230,--,24,2000-06-20,"Douala, Cameroon"
197,TOR,Davion Mitchell,15,PG,"6' 0""",202,"$5,063,760",25,1998-09-05,"Hinesville, Georgia"
198,TOR,Jonathan Mogbo,--,F,"6' 6""",225,--,22,2001-10-29,"West Palm Beach, Florida"
200,TOR,Kelly Olynyk,41,PF,"6' 11""",240,"$12,195,122",33,1991-04-19,"Toronto, Ontario"
201,TOR,Jakob Poeltl,19,C,"7' 0""",260,"$19,500,000",28,1995-10-15,"Vienna, Austria"
202,TOR,Immanuel Quickley,5,SG,"6' 2""",190,"$4,171,548",25,1999-06-17,"Havre de Grace, Maryland"
203,TOR,Jamal Shead,--,G,"6' 0""",201,--,22,2002-06-24,"Austin, Texas"
204,TOR,Kobi Simmons,23,G,"6' 5""",180,"$2,066,585",26,1997-07-04,"Atlanta, Georgia"
205,TOR,Garrett Temple,17,SF,"6' 5""",195,"$5,401,000",38,1986-05-08,"Baton Rouge, Louisiana"
207,TOR,Ja'Kobe Walter,--,G,"6' 4""",195,--,19,2004-09-04,"Dallas, Texas"
209,CHI,Lonzo Ball,2,PG,"6' 6""",190,"$20,465,117",26,1997-10-27,"Anaheim, California"
210,CHI,Onuralp Bitim,17,SF,"6' 6""",215,"$334,582",25,1999-03-31,"Kadikoy, Turkey"
211,CHI,Matas Buzelis,--,F,"6' 9""",195,--,19,2004-10-13,"Chicago, Illinois"
212,CHI,Jevon Carter,5,PG,"6' 1""",200,"$6,190,476",28,1995-09-14,"Maywood, Illinois"
213,CHI,Torrey Craig,13,SF,"6' 5""",221,"$2,528,233",33,1990-12-19,"Columbia, South Carolina"
215,CHI,Ayo Dosunmu,12,SG,"6' 5""",200,"$6,481,481",24,2000-01-17,"Chicago, Illinois"
217,CHI,Andrew Funk,30,G,"6' 5""",200,--,24,1999-09-21,"Warrington, Pennsylvania"
218,CHI,Josh Giddey,--,SG,"6' 8""",216,"$6,587,040",21,2002-10-10,"Melbourne, Australia"
220,CHI,Zach LaVine,8,SG,"6' 5""",200,"$40,064,220",29,1995-03-10,"Renton, Washington"
221,CHI,Julian Phillips,15,F,"6' 8""",198,"$1,600,000",20,2003-11-05,"Killeen, Texas"
223,CHI,Jalen Smith,25,PF,"6' 9""",215,"$5,604,192",24,2000-03-16,"Portsmouth, Virginia"
224,CHI,Dalen Terry,25,F,"6' 7""",195,"$3,350,760",21,2002-07-12,"Tempe, Arizona"
225,CHI,Nikola Vucevic,9,C,"6' 10""",260,"$18,518,519",33,1990-10-24,"Morges, Switzerland"
226,CHI,Coby White,0,PG,"6' 5""",195,"$11,111,111",24,2000-02-16,"Goldsboro, North Carolina"
227,CHI,Patrick Williams,44,PF,"6' 7""",215,"$9,835,881",22,2001-08-26,"Charlotte, North Carolina"
228,CLE,Jarrett Allen,31,C,"6' 9""",243,"$20,000,000",26,1998-04-21,"San Diego, California"
230,CLE,Darius Garland,10,PG,"6' 1""",192,"$34,005,250",24,2000-01-26,"Gary, Indiana"
231,CLE,Ty Jerome,2,SG,"6' 5""",195,"$2,439,025",26,1997-07-08,"New York, New York"
233,CLE,Caris LeVert,3,SG,"6' 6""",205,"$15,384,616",29,1994-08-25,"Columbus, Ohio"
234,CLE,Sam Merrill,5,SG,"6' 4""",205,"$1,997,238",28,1996-05-15,"Salt Lake City, Utah"
235,CLE,Donovan Mitchell,45,SG,"6' 3""",215,"$33,162,030",27,1996-09-07,"Elmsford, New York"
236,CLE,Evan Mobley,4,PF,"6' 11""",215,"$8,882,760",23,2001-06-18,"San Diego, California"
240,CLE,Georges Niang,20,SF,"6' 7""",230,"$8,800,000",31,1993-06-17,"Lawrence, Massachusetts"
242,CLE,Craig Porter,9,G,"6' 1""",180,"$1,500,000",24,2000-02-26,"Terre Haute, Indiana"
243,CLE,Max Strus,1,SG,"6' 5""",215,"$14,487,684",28,1996-03-28,"Hickory Hills, Illinois"
245,CLE,Jaylon Tyson,--,F,"6' 6""",215,--,21,2002-12-02,"Allen, Texas"
246,CLE,Dean Wade,32,PF,"6' 9""",228,"$5,709,877",27,1996-11-20,"Wichita, Kansas"
247,DET,Buddy Boeheim,27,F,"6' 5""",205,--,24,1999-11-11,"Fayetteville, New York"
248,DET,Troy Brown Jr.,7,SF,"6' 7""",215,"$4,000,000",24,1999-07-28,"Las Vegas, Nevada"
249,DET,Cade Cunningham,2,PG,"6' 6""",220,"$11,055,240",22,2001-09-25,"Arlington, Texas"
250,DET,Jalen Duren,0,C,"6' 10""",250,"$4,330,680",20,2003-11-18,"New Castle, Delaware"
251,DET,Tosan Evbuomwan,18,F,"6' 7""",217,--,23,2001-02-16,--
256,DET,Tim Hardaway Jr.,--,SF,"6' 5""",205,"$17,897,728",57,1966-09-01,"Chicago, Illinois"
257,DET,Tobias Harris,34,F,"6' 8""",226,"$39,270,150",31,1992-07-15,"Islip, New York"
258,DET,Ron Holland II,--,F,"6' 7""",206,--,18,2005-07-07,"Duncanville, Texas"
259,DET,Jaden Ivey,23,PG,"6' 4""",195,"$7,641,480",22,2002-02-13,"South Bend, Indiana"
260,DET,Bobi Klintman,--,F,"6' 9""",225,--,21,2003-03-06,"Malmo, Sweden"
262,DET,Jaylen Nowell,20,SG,"6' 4""",201,--,24,1999-07-09,"Seattle, Washington"
264,DET,Marcus Sasser,25,G,"6' 2""",195,"$2,623,680",23,2000-09-21,"Dallas, Texas"
265,DET,Isaiah Stewart,28,C,"6' 8""",250,"$5,266,713",23,2001-05-22,"Rochester, New York"
266,DET,Ausar Thompson,9,F,"6' 6""",205,"$7,977,480",21,2003-01-30,"San Leandro, California"
268,DET,James Wiseman,13,C,"6' 11""",240,"$12,119,400",23,2001-03-31,"Nashville, Tennessee"
270,IND,Enrique Freeman,--,F,"6' 7""",212,--,23,2000-07-29,"Cleveland, Ohio"
271,IND,Johnny Furphy,--,F,"6' 8""",202,--,19,2004-12-08,"Melbourne, Australia"
272,IND,Tyrese Haliburton,0,PG,"6' 5""",185,"$5,808,435",24,2000-02-29,"Oshkosh, Wisconsin"
273,IND,Isaiah Jackson,22,SF,"6' 9""",205,"$2,696,280",22,2002-01-10,"Pontiac, Michigan"
276,IND,Bennedict Mathurin,00,SG,"6' 5""",210,"$6,916,080",22,2002-06-19,"Montreal, Quebec"
277,IND,T.J. McConnell,9,PG,"6' 1""",190,"$8,700,000",32,1992-03-25,"Pittsburgh, Pennsylvania"
279,IND,Andrew Nembhard,2,PG,"6' 4""",191,"$2,131,905",24,2000-01-16,"Aurora, Ontario"
280,IND,Aaron Nesmith,23,SF,"6' 6""",215,"$5,634,257",24,1999-10-16,"Charleston, South Carolina"
281,IND,Tristen Newton,--,G,"6' 3""",192,--,23,2001-04-26,"Pensacola, Florida"
282,IND,Ben Sheppard,26,G,"6' 6""",190,"$2,537,160",22,2001-07-16,"Atlanta, Georgia"
283,IND,Pascal Siakam,43,PF,"6' 8""",245,"$37,893,408",30,1994-04-02,"Douala, Cameroon"
284,IND,Obi Toppin,1,PF,"6' 9""",220,"$6,803,012",26,1998-03-04,"Brooklyn, New York"
286,IND,Myles Turner,33,C,"6' 11""",250,"$20,975,000",28,1996-03-24,"Bedford, Texas"
287,IND,Jarace Walker,5,F,"6' 7""",235,"$6,059,520",20,2003-09-04,"New Freedom, Pennsylvania"
289,MIL,Giannis Antetokounmpo,34,PF,"6' 11""",243,"$45,640,084",29,1994-12-06,"Athens, Greece"
292,MIL,MarJon Beauchamp,3,F,"6' 7""",199,"$2,609,400",23,2000-10-12,"Yakima, Washington"
294,MIL,Pat Connaughton,24,SG,"6' 5""",209,"$9,423,869",31,1993-01-06,"Arlington, Massachusetts"
297,MIL,Jaylin Galloway,6,F,"6' 7""",190,--,21,2002-12-21,"Marietta, Georgia"
298,MIL,AJ Green,20,G,"6' 4""",190,"$1,801,769",24,1999-09-27,"Cedar Falls, Iowa"
299,MIL,Andre Jackson Jr.,44,G,"6' 6""",209,"$1,119,563",22,2001-11-13,"Amsterdam, New York"
300,MIL,AJ Johnson,--,G,"6' 4""",167,--,19,2004-12-01,"Fresno, California"
301,MIL,Damian Lillard,0,PG,"6' 2""",195,"$45,640,084",33,1990-07-15,"Oakland, California"
302,MIL,Chris Livingston,7,F,"6' 6""",220,"$1,119,563",20,2003-10-15,"Akron, Ohio"
303,MIL,Brook Lopez,11,C,"7' 1""",282,"$25,000,000",36,1988-04-01,"North Hollywood, California"
304,MIL,Khris Middleton,22,SF,"6' 7""",222,"$29,320,988",32,1991-08-12,"Charleston, South Carolina"
305,MIL,Bobby Portis,9,F,"6' 10""",250,"$11,710,818",29,1995-02-10,"Little Rock, Arkansas"
306,MIL,Ryan Rollins,55,G,"6' 3""",180,--,22,2002-07-03,"Detroit, Michigan"
308,MIL,Delon Wright,4,SG,"6' 5""",185,"$661,628",32,1992-04-26,"Los Angeles, California"
309,DEN,Christian Braun,0,G,"6' 6""",220,"$2,949,120",23,2001-04-17,"Burlington, Kansas"
311,DEN,Aaron Gordon,50,PF,"6' 8""",235,"$22,266,182",28,1995-09-16,"San Jose, California"
313,DEN,DaRon Holmes II,--,C,"6' 9""",235,--,21,2002-08-15,"Overland Park, Kansas"
315,DEN,Nikola Jokic,15,C,"6' 11""",284,"$47,607,350",29,1995-02-19,"Sombor, Serbia"
316,DEN,DeAndre Jordan,6,C,"6' 11""",265,"$2,019,706",35,1988-07-21,"Houston, Texas"
318,DEN,Jamal Murray,27,PG,"6' 4""",215,"$33,833,400",27,1997-02-23,"Kitchener, Ontario"
319,DEN,Zeke Nnaji,22,PF,"6' 9""",240,"$4,306,281",23,2001-01-09,"Hopkins, Minnesota"
320,DEN,Jalen Pickett,24,G,"6' 2""",202,"$2,019,706",24,1999-10-22,"Rochester, New York"
321,DEN,Michael Porter Jr.,1,SF,"6' 10""",218,"$33,386,850",26,1998-06-29,"Indianapolis, Indiana"
322,DEN,Julian Strawther,3,G,"6' 6""",205,"$2,431,080",22,2002-04-18,"Las Vegas, Nevada"
