,Team,Name,Jersey,Position,Height (ft),Weight (lb),Salary,Age,Birth Date,Birth Location
18,SA,Dominick Barlow,26,F,"6' 9""",215,"$455,620",21,2003-05-26,"Hackensack, New Jersey"
19,NO,Cody Zeller,40,C,"6' 11""",240,"$2,019,706",31,1992-10-05,"Washington, Indiana"
20,NO,Zion Williamson,1,PF,"6' 6""",284,"$34,005,250",23,2000-07-06,"Salisbury, North Carolina"
21,NO,Jonas Valanciunas,17,C,"6' 11""",265,"$15,435,000",32,1992-05-06,"Utena, Lithuania"
22,NO,Dereon Seabron,0,G,"6' 5""",180,--,24,2000-05-26,"Norfolk, Virginia"
23,NO,Matt Ryan,37,F,"6' 6""",215,--,27,1997-04-17,"White Plains, New York"
24,NO,Jeremiah Robinson-Earl,50,F,"6' 9""",240,"$2,196,970",23,2000-11-03,"Kansas City, Missouri"
25,NO,Antonio Reeves,--,G,"6' 5""",187,--,23,2000-11-20,"Chicago, Illinois"
26,NO,Dejounte Murray,--,SG,"6' 5""",180,"$18,214,000",27,1996-09-19,"Seattle, Washington"
27,NO,Trey Murphy III,25,SG,"6' 8""",206,"$3,359,280",24,2000-06-18,"Durham, North Carolina"
28,NO,Yves Missi,--,C,"6' 11""",235,--,20,2004-05-14,"Brussels, Belgium"
29,NO,CJ McCollum,3,SG,"6' 3""",190,"$35,802,469",32,1991-09-19,"Canton, Ohio"
30,NO,Naji Marshall,8,SF,"6' 6""",220,"$1,930,681",26,1998-01-24,"Atlantic City, New Jersey"
31,NO,Herbert Jones,5,SF,"6' 7""",206,"$12,015,150",25,1998-10-06,"Tuscaloosa, Alabama"
32,NO,Brandon Ingram,14,SF,"6' 8""",190,"$33,833,400",26,1997-09-02,"Kinston, North Carolina"
33,NO,Malcolm Hill,33,G,"6' 6""",220,--,28,1995-10-26,"St. Louis, Missouri"
34,NO,Jordan Hawkins,24,G,"6' 5""",190,"$4,310,160",22,2002-04-29,"Gaithersburg, Maryland"
35,NO,Jalen Crutcher,10,G,"6' 2""",175,--,24,1999-07-18,"Memphis, Tennessee"
36,NO,Izaiah Brockington,21,G,"6' 4""",200,--,24,1999-07-12,"Towson, Maryland"
37,NO,Jose Alvarado,15,PG,"6' 0""",179,"$1,836,096",26,1998-04-12,"Brooklyn, New York"
38,MEM,Vince Williams Jr.,5,G,"6' 4""",205,"$2,232,308",23,2000-08-30,"Toledo, Ohio"
39,MEM,Ziaire Williams,8,F,"6' 9""",185,"$4,810,200",22,2001-09-12,"Lancaster, California"
40,MEM,Jaylen Wells,--,F,"6' 7""",205,--,20,2003-08-26,"Sacramento, California"
41,MEM,Yuta Watanabe,18,SF,"6' 9""",215,"$2,346,614",29,1994-10-13,"Yokohama, Japan"
42,MEM,Lamar Stevens,24,PF,"6' 7""",230,"$1,930,681",26,1997-07-09,"Philadelphia, Pennsylvania"
43,MEM,Cam Spencer,--,G,"6' 3""",202,--,24,2000-04-06,"Davidsonville, Maryland"
44,MEM,Marcus Smart,36,PG,"6' 3""",220,"$18,833,712",30,1994-03-06,"Flower Mound, Texas"
45,MEM,Derrick Rose,23,PG,"6' 3""",200,"$3,196,448",35,1988-10-04,"Chicago, Illinois"
46,MEM,Scotty Pippen Jr.,--,G,"6' 1""",170,--,23,2000-11-10,"Portland, Oregon"
47,MEM,Ja Morant,12,PG,"6' 2""",174,"$34,005,250",24,1999-08-10,"Dalzell, South Carolina"
48,MEM,Jake LaRavia,3,F,"6' 7""",235,"$3,199,920",22,2001-11-03,"Pasadena, California"
49,MEM,John Konchar,46,SG,"6' 5""",210,"$2,400,000",28,1996-03-22,"Chicago, Illinois"
50,MEM,Luke Kennard,10,SG,"6' 5""",206,"$15,418,363",28,1996-06-24,"Middletown, Ohio"
51,MEM,Trey Jemison,55,C,"6' 11""",260,--,24,1999-11-28,"Birmingham, Alabama"
52,MEM,Jaren Jackson Jr.,13,PF,"6' 10""",242,"$27,102,202",56,1967-10-27,"New Orleans, Louisiana"
53,MEM,GG Jackson,45,F,"6' 9""",210,"$1,991,428",19,2004-12-17,"Columbia, South Carolina"
54,MEM,Jordan Goodwin,0,G,"6' 4""",200,--,25,1998-10-23,"Centreville, Illinois"
55,MEM,Zach Edey,--,C,"7' 4""",300,--,22,2002-05-14,"Toronto, Canada"
56,MEM,Brandon Clarke,15,PF,"6' 8""",215,"$12,500,000",27,1996-09-19,"Vancouver, British Columbia"
57,MEM,Desmond Bane,22,SG,"6' 5""",215,"$3,845,083",26,1998-06-25,"Richmond, Indiana"
58,MEM,Santi Aldama,7,PF,"7' 0""",215,"$2,194,200",23,2001-01-10,"Las Palmas, Spain"
59,HOU,Nate Williams,19,G,"6' 5""",205,--,74,1950-05-02,"Columbia, Louisiana"
60,HOU,Cam Whitmore,7,F,"6' 7""",230,"$3,218,160",19,2004-07-08,"Odenton, Maryland"
61,HOU,Fred VanVleet,5,PG,"6' 0""",197,"$40,806,300",30,1994-02-25,"Rockford, Illinois"
62,HOU,Amen Thompson,1,F,"6' 7""",200,"$8,809,320",21,2003-01-30,"San Leandro, California"
63,HOU,Jae'Sean Tate,8,SF,"6' 4""",230,"$6,500,000",28,1995-10-28,"Toledo, Ohio"
64,HOU,Jabari Smith Jr.,10,PF,"6' 11""",220,"$9,326,520",47,1977-02-12,"Atlanta, Georgia"
65,HOU,Reed Sheppard,--,G,"6' 2""",187,--,20,2004-06-24,"London, Kentucky"
66,HOU,Alperen Sengun,28,C,"6' 11""",243,"$3,536,280",21,2002-07-25,"Giresun, Turkey"
67,HOU,Jermaine Samuels Jr.,00,F,"6' 6""",230,--,25,1998-11-13,"Franklin, Massachusetts"
68,HOU,Boban Marjanovic,51,C,"7' 4""",290,"$2,019,706",35,1988-08-15,"Zajecar, Serbia"
69,HOU,Jock Landale,2,C,"6' 11""",255,"$8,000,000",28,1995-10-25,"E Malvern, Australia"
70,HOU,Aaron Holiday,0,G,"6' 0""",185,"$2,019,706",27,1996-09-30,"Ruston, Louisiana"
71,HOU,Nate Hinton,14,G,"6' 5""",210,--,25,1999-06-08,"Gastonia, North Carolina"
72,HOU,AJ Griffin,14,F,"6' 6""",220,"$3,712,920",20,2003-08-25,"Dallas, Texas"
73,HOU,Jeff Green,32,PF,"6' 8""",235,"$9,600,000",37,1986-08-28,"Cheverly, Maryland"
74,HOU,Jalen Green,4,SG,"6' 4""",186,"$9,891,480",22,2002-02-09,"Merced, California"
75,HOU,Tari Eason,17,F,"6' 8""",215,"$3,527,160",23,2001-05-10,"Portsmouth, Virginia"
76,HOU,Reggie Bullock Jr.,25,SF,"6' 6""",205,"$2,019,706",33,1991-03-16,"Baltimore, Maryland"
77,HOU,Dillon Brooks,9,SF,"6' 6""",225,"$22,627,671",28,1996-01-22,"Mississauga, Ontario"
78,HOU,Steven Adams,12,C,"6' 11""",265,"$12,600,000",30,1993-07-20,"Rotorua, New Zealand"
79,DAL,Brandon Williams,00,G,"6' 1""",190,--,49,1975-02-27,"Collinston, Louisiana"
80,DAL,P.J. Washington,25,PF,"6' 7""",230,"$16,847,826",25,1998-08-23,"Louisville, Kentucky"
81,DAL,Olivier-Maxence Prosper,18,F,"6' 7""",230,"$2,733,360",21,2002-07-03,"Montreal, Canada"
82,DAL,Dwight Powell,7,C,"6' 10""",240,"$4,000,000",32,1991-07-20,"Toronto, Ontario"
83,DAL,Markieff Morris,88,PF,"6' 9""",245,"$2,019,706",34,1989-09-02,"Philadelphia, Pennsylvania"
84,DAL,Dereck Lively II,2,C,"7' 1""",230,"$4,775,640",20,2004-02-12,"Philadelphia, Pennsylvania"
85,DAL,A.J. Lawson,9,G,"6' 6""",179,"$1,000,000",23,2000-07-15,"Toronto, Ontario"
86,DAL,Derrick Jones Jr.,55,SF,"6' 6""",210,"$2,019,706",27,1997-02-15,"Chester, Pennsylvania"
87,DAL,Kyrie Irving,11,PG,"6' 2""",195,"$37,037,037",32,1992-03-23,"Melbourne, Australia"
88,DAL,Jaden Hardy,1,G,"6' 3""",198,"$1,719,864",21,2002-07-05,"Detroit, Michigan"
89,DAL,Quentin Grimes,--,SG,"6' 5""",210,"$2,385,720",24,2000-05-08,"Houston, Texas"
90,DAL,Josh Green,8,SG,"6' 5""",200,"$4,765,339",23,2000-11-16,"Sydney, Australia"
91,DAL,Daniel Gafford,21,C,"6' 10""",234,"$12,402,000",25,1998-10-01,"El Dorado, Arkansas"
92,DAL,Alex Fudge,3,F,"6' 8""",200,--,21,2003-05-06,"Jacksonville, Florida"
93,DAL,Dante Exum,0,G,"6' 5""",214,"$3,000,000",28,1995-07-13,"Melbourne, Australia"
94,DAL,Luka Doncic,77,PG,"6' 7""",230,"$40,064,220",25,1999-02-28,"Ljubljana, Slovenia"
95,DAL,Greg Brown III,13,PF,"6' 7""",206,--,22,2001-09-01,"Dallas, Texas"
96,DAL,Melvin Ajinca,--,G,"6' 8""",218,--,20,2004-06-26,"Villeneuve-Saint-Georges, France"
97,WSH,Tristan Vukcevic,00,PF,"7' 0""",225,--,21,2003-03-11,"Siena, Italy"
98,WSH,Landry Shamet,20,SG,"6' 4""",190,"$10,250,000",27,1997-03-13,"Kansas City, Missouri"
99,WSH,Alex Sarr,--,PF,"7' 0""",216,--,19,2005-04-26,"Bordeaux, France"
100,WSH,Jordan Poole,13,SG,"6' 4""",194,"$27,955,357",25,1999-06-19,"Milwaukee, Wisconsin"
101,WSH,Eugene Omoruyi,97,F,"6' 6""",235,"$900,000",27,1997-02-14,Ben
102,WSH,Kyle Kuzma,33,SF,"6' 9""",221,"$25,568,182",28,1995-07-24,"Flint, Michigan"
103,WSH,Corey Kispert,24,SF,"6' 6""",224,"$3,722,040",25,1999-03-03,"Edmonds, Washington"
104,WSH,Tyus Jones,5,PG,"6' 1""",196,"$14,000,000",28,1996-05-10,"Burnsville, Minnesota"
105,WSH,Richaun Holmes,22,F,"6' 9""",235,"$12,046,020",30,1993-10-15,"Lockport, Illinois"
106,WSH,Anthony Gill,16,PF,"6' 8""",230,"$1,997,239",31,1992-10-17,"High Point, North Carolina"
107,WSH,Kyshawn George,--,F,"6' 7""",205,--,20,2003-12-12,"Aigle, Switzerland"
108,WSH,Johnny Davis,1,G,"6' 4""",195,"$5,050,800",68,1955-10-21,"Detroit, Michigan"
109,WSH,Bilal Coulibaly,0,SG,"6' 8""",195,"$6,614,280",19,2004-07-26,"Saint-Cloud, France"
110,WSH,Justin Champagnie,99,SF,"6' 6""",206,--,23,2001-06-29,"Brooklyn, New York"
111,WSH,Jared Butler,4,SG,"6' 3""",193,--,23,2000-08-25,"Reserve, Louisiana"
112,WSH,Malcolm Brogdon,--,PG,"6' 4""",229,"$22,500,000",31,1992-12-11,"Atlanta, Georgia"
113,WSH,Jules Bernard,14,G,"6' 6""",210,--,24,2000-01-21,"Los Angeles, California"
114,WSH,Patrick Baldwin Jr.,7,F,"6' 9""",220,"$2,337,720",21,2002-11-18,"Green Bay, Wisconsin"
115,WSH,Marvin Bagley III,35,PF,"6' 10""",235,"$12,500,000",25,1999-03-14,"Tempe, Arizona"
116,ORL,Moritz Wagner,21,C,"6' 11""",245,"$8,000,000",27,1997-04-26,"Berlin, Germany"
117,ORL,Franz Wagner,22,SF,"6' 10""",220,"$5,508,720",22,2001-08-27,"Berlin, Germany"
118,ORL,Jalen Suggs,4,SG,"6' 5""",205,"$7,252,080",23,2001-06-03,"St. Paul, Minnesota"
119,ORL,Admiral Schofield,25,SF,"6' 5""",241,--,27,1997-03-30,"London, United Kingdom"
120,ORL,Trevelin Queen,12,SG,"6' 5""",190,--,27,1997-02-25,"Baltimore, Maryland"
121,ORL,Chuma Okeke,3,PF,"6' 7""",229,"$5,266,713",25,1998-08-18,"Atlanta, Georgia"
122,ORL,Jonathan Isaac,1,PF,"6' 10""",230,"$17,400,000",26,1997-10-03,"The Bronx, New York"
123,ORL,Joe Ingles,7,SG,"6' 9""",220,"$11,000,000",36,1987-10-02,"Adelaide, Australia"
124,ORL,Jett Howard,13,G,"6' 6""",215,"$5,026,800",20,2003-09-14,"Chicago, Illinois"
125,ORL,Caleb Houstan,2,G,"6' 8""",205,"$2,000,000",21,2003-01-09,"Mississauga, Ontario"
126,ORL,Kevon Harris,8,G,"6' 5""",216,--,27,1997-06-24,"Ellenwood, Georgia"
127,ORL,Gary Harris,14,SG,"6' 4""",210,"$13,000,000",29,1994-09-14,"Fishers, Indiana"
128,ORL,Markelle Fultz,20,PG,"6' 4""",209,"$17,000,000",26,1998-05-29,"Upper Marlboro, Maryland"
129,ORL,Tristan da Silva,--,F,"6' 8""",220,--,23,2001-05-15,"Munich, Germany"
130,ORL,Wendell Carter Jr.,34,C,"6' 10""",270,"$13,050,000",25,1999-04-16,"Atlanta, Georgia"
131,ORL,Anthony Black,0,G,"6' 7""",200,"$7,245,480",20,2004-01-20,"Duncanville, Texas"
132,ORL,Goga Bitadze,35,C,"6' 10""",250,"$2,062,585",24,1999-07-20,"Sagarejo, Georgia"
133,ORL,Paolo Banchero,5,PF,"6' 10""",250,"$11,608,080",21,2002-11-12,"Seattle, Washington"
134,ORL,Cole Anthony,50,PG,"6' 2""",185,"$5,539,771",24,2000-05-15,"Portland, Oregon"
135,MIA,Delon Wright,4,SG,"6' 5""",185,"$661,628",32,1992-04-26,"Los Angeles, California"
136,MIA,Alondes Williams,15,G,"6' 4""",205,--,25,1999-06-19,"Milwaukee , Wisconsin"
137,MIA,Kel'el Ware,--,C,"7' 0""",242,--,20,2004-04-20,"North Little Rock, Arkansas"
138,MIA,Cole Swider,21,F,"6' 8""",220,--,25,1999-05-08,"Portsmouth, Rhode Island"
139,MIA,Terry Rozier,2,SG,"6' 1""",190,"$22,205,221",30,1994-03-17,"Youngstown, Ohio"
140,MIA,Orlando Robinson,25,C,"6' 10""",235,"$1,801,769",23,2000-07-10,"Las Vegas, Nevada"
141,MIA,Duncan Robinson,55,F,"6' 7""",215,"$18,154,000",30,1994-04-22,"York, Maine"
142,MIA,Josh Richardson,0,SG,"6' 5""",200,"$2,891,467",30,1993-09-15,"Edmond, Oklahoma"
143,MIA,Patty Mills,88,PG,"6' 2""",180,"$475,908",35,1988-08-11,"Canberra, Australia"
144,MIA,Caleb Martin,16,SF,"6' 5""",205,"$6,802,950",28,1995-09-28,"Winston-Salem, North Carolina"
145,MIA,Kevin Love,42,PF,"6' 8""",251,"$3,835,738",35,1988-09-07,"Santa Monica, California"
146,MIA,Pelle Larsson,--,G,"6' 5""",212,--,23,2001-02-23,"Stockholm, Sweden"
147,MIA,Nikola Jovic,5,F,"6' 10""",205,"$2,352,000",21,2003-06-09,"Leicester, United Kingdom"
148,MIA,Jaime Jaquez Jr.,11,G,"6' 6""",225,"$3,510,600",23,2001-02-18,"Irvine, California"
149,MIA,Haywood Highsmith,24,F,"6' 5""",220,"$1,902,137",27,1996-12-09,"Baltimore, Maryland"
150,MIA,Tyler Herro,14,PG,"6' 5""",195,"$27,000,000",24,2000-01-20,"Milwaukee, Wisconsin"
151,MIA,Jamal Cain,8,F,"6' 6""",191,--,25,1999-03-20,"Pontiac, Michigan"
152,MIA,Jimmy Butler,22,SF,"6' 7""",230,"$45,183,960",34,1989-09-14,"Houston, Texas"
153,MIA,Thomas Bryant,31,C,"6' 10""",248,"$2,528,233",26,1997-07-31,"Rochester, New York"
154,MIA,Bam Adebayo,13,C,"6' 9""",255,"$32,600,060",26,1997-07-18,"Newark, New Jersey"
155,CHA,Mark Williams,5,C,"7' 0""",240,"$3,908,160",22,2001-12-16,"Norfolk, Virginia"
156,CHA,Grant Williams,2,PF,"6' 6""",236,"$12,325,581",25,1998-11-30,"Houston, Texas"
157,CHA,JT Thor,21,F,"6' 9""",203,"$1,836,096",21,2002-08-26,"Omaha, Nebraska"
158,CHA,Nick Smith Jr.,8,G,"6' 2""",185,"$2,463,960",20,2004-04-18,"Jacksonville, Arkansas"
159,CHA,KJ Simpson,--,G,"6' 0""",187,--,21,2002-08-08,"Panorama City, California"
160,CHA,Tidjane Salaun,--,F,"6' 9""",212,--,18,2005-08-10,"Paris, France"
161,CHA,Nick Richards,4,C,"7' 0""",245,"$5,000,000",26,1997-11-29,"Kingston, Jamaica"
162,CHA,Aleksej Pokusevski,17,F,"7' 0""",210,"$565,176",22,2001-12-26,"Belgrade, Serbia"
163,CHA,Brandon Miller,24,F,"6' 7""",200,"$10,880,400",21,2002-11-22,"Antioch, Tennessee"
164,CHA,Vasilije Micic,22,G,"6' 3""",188,"$7,723,000",30,1994-01-13,"Kraljevo, Serbia"
165,CHA,Bryce McGowens,7,G,"6' 6""",175,"$1,719,865",21,2002-11-08,"Pendleton, South Carolina"
166,CHA,Cody Martin,11,SF,"6' 6""",205,"$7,560,000",28,1995-09-28,"Winston-Salem, North Carolina"
167,CHA,Tre Mann,23,PG,"6' 3""",178,"$3,191,280",23,2001-02-03,"Gainesville, Florida"
168,CHA,Reggie Jackson,--,PG,"6' 2""",208,"$5,000,000",34,1990-04-16,"Pordenone, Italy"
169,CHA,Miles Bridges,0,SF,"6' 7""",225,"$7,921,301",26,1998-03-21,"Flint, Michigan"
170,CHA,Marques Bolden,12,C,"6' 10""",249,--,26,1998-04-17,"Dallas, Texas"
171,CHA,Leaky Black,12,F,"6' 6""",209,--,25,1999-06-14,"Concord, North Carolina"
172,CHA,Davis Bertans,9,SF,"6' 10""",225,"$17,000,000",31,1992-11-12,"Valmiera, Latvia"
173,CHA,LaMelo Ball,1,PG,"6' 7""",180,"$10,900,635",22,2001-08-22,"Anaheim, California"
174,CHA,Amari Bailey,10,G,"6' 3""",185,--,20,2004-02-17,"New Orleans, Louisiana"
175,ATL,Trae Young,11,PG,"6' 1""",164,"$40,064,220",25,1998-09-19,"Lubbock, Texas"
176,ATL,Dylan Windler,20,G,"6' 7""",196,--,27,1996-09-22,"Indianapolis, Indiana"
177,ATL,Zaccharie Risacher,--,PF,"6' 9""",210,--,19,2005-04-08,"Malaga, Spain"
178,ATL,Onyeka Okongwu,17,PF,"6' 10""",240,"$8,109,063",23,2000-12-11,"Los Angeles, California"
179,ATL,Larry Nance Jr.,--,PF,"6' 8""",245,"$10,375,000",65,1959-02-12,"Anderson, South Carolina"
180,ATL,Wesley Matthews,32,SG,"6' 5""",220,"$2,019,706",37,1986-10-14,"San Antonio, Texas"
181,ATL,Garrison Mathews,25,SG,"6' 6""",215,"$2,000,000",27,1996-10-24,"Franklin, Tennessee"
182,ATL,Seth Lundy,3,G,"6' 4""",220,--,24,2000-04-02,"Paulsboro, New Jersey"
183,ATL,E.J. Liddell,--,F,"6' 6""",240,"$1,801,769",23,2000-12-18,"Belleville, Illinois"
184,ATL,Vit Krejci,27,G,"6' 8""",195,--,24,2000-06-19,"Strakonice, Czechia"
185,ATL,Jalen Johnson,1,SF,"6' 8""",219,"$2,925,360",22,2001-12-18,"Wausau, Wisconsin"
186,ATL,De'Andre Hunter,12,SF,"6' 8""",221,"$20,089,286",26,1997-12-02,"Philadelphia, Pennsylvania"
187,ATL,Mouhamed Gueye,18,F,"6' 10""",210,"$1,119,563",21,2002-11-09,"Dakar, Senegal"
188,ATL,Trent Forrest,2,G,"6' 4""",210,"$553,151",26,1998-06-12,"Dothan, Alabama"
189,ATL,Bruno Fernando,24,PF,"6' 9""",240,"$2,581,522",25,1998-08-15,"Luanda, Angola"
190,ATL,Nikola Djurisic,--,F,"6' 7""",209,--,20,2004-02-23,"Gent, Belgium"
191,ATL,Dyson Daniels,--,G,"6' 7""",199,"$5,784,120",21,2003-03-17,"Bendigo, Australia"
192,ATL,Kobe Bufkin,4,G,"6' 5""",195,"$4,094,280",20,2003-09-21,"Grand Rapids, Michigan"
193,ATL,Bogdan Bogdanovic,13,SG,"6' 5""",225,"$18,700,000",31,1992-08-18,"Belgrade, Serbia"
194,ATL,Saddiq Bey,41,SF,"6' 7""",215,"$4,556,983",25,1999-04-09,"Charlotte, North Carolina"
195,SAC,Jalen Slawson,18,F,"6' 7""",215,--,24,1999-10-22,"Summerville, South Carolina"
196,SAC,Domantas Sabonis,11,PF,"6' 10""",240,"$30,600,000",28,1996-05-03,"Portland, Oregon"
197,SAC,Keegan Murray,13,SF,"6' 8""",225,"$8,409,000",23,2000-08-19,"Cedar Rapids, Iowa"
198,SAC,Malik Monk,0,SG,"6' 3""",200,"$9,945,830",26,1998-02-04,"Jonesboro, Arkansas"
199,SAC,JaVale McGee,00,C,"7' 0""",270,"$2,019,706",36,1988-01-19,"Flint, Michigan"
200,SAC,Jalen McDaniels,--,PF,"6' 9""",190,"$4,516,000",26,1998-01-31,"Federal Way, Washington"
201,SAC,Trey Lyles,41,PF,"6' 9""",234,"$8,000,000",28,1995-11-05,"Saskatoon, Saskatchewan"
202,SAC,Alex Len,25,C,"7' 0""",250,"$2,019,760",31,1993-06-16,"Antratsit, Ukraine"
203,SAC,Mason Jones,22,G,"6' 4""",200,--,25,1998-07-21,"Dallas, Texas"
204,SAC,Colby Jones,20,G,"6' 6""",207,"$2,019,706",22,2002-05-28,"Birmingham, Alabama"
205,SAC,Kevin Huerter,9,SG,"6' 7""",198,"$15,669,643",25,1998-08-27,"Albany, New York"
206,SAC,De'Aaron Fox,5,PG,"6' 3""",185,"$32,600,060",26,1997-12-20,"New Orleans, Louisiana"
207,SAC,Jordan Ford,31,G,"6' 1""",175,--,26,1998-05-26,"Citrus Heights, California"
208,SAC,Keon Ellis,23,G,"6' 3""",175,"$683,430",24,2000-01-08,"Eustis, Florida"
209,SAC,Kessler Edwards,17,SF,"6' 7""",203,"$1,927,896",23,2000-08-09,"Glendale, California"
210,SAC,Chris Duarte,3,SG,"6' 5""",190,"$4,124,400",27,1997-06-13,"Puerto Plata, Dominican Republic"
211,SAC,Harrison Barnes,40,SF,"6' 8""",225,"$17,000,000",32,1992-05-30,"Ames, Iowa"
212,PHX,Thaddeus Young,30,F,"6' 8""",225,"$638,413",36,1988-06-21,"New Orleans, Louisiana"
213,PHX,Ish Wainright,12,F,"6' 5""",250,--,29,1994-09-12,"Kansas City, Missouri"
214,PHX,Isaiah Thomas,4,G,"5' 9""",185,--,35,1989-02-07,"Tacoma, Washington"
215,PHX,David Roddy,21,F,"6' 4""",255,"$2,718,240",23,2001-03-27,"Minneapolis, Minnesota"
216,PHX,Josh Okogie,2,SF,"6' 4""",213,"$2,815,937",25,1998-09-01,"Lagos, Nigeria"
217,PHX,Royce O'Neale,00,PF,"6' 6""",226,"$9,500,000",31,1993-06-05,"Killeen, Texas"
218,PHX,Jusuf Nurkic,20,C,"7' 0""",290,"$16,875,000",29,1994-08-23,"Tuzla, Bosnia and Herzegovina"
219,PHX,Nassir Little,25,SF,"6' 6""",220,"$6,250,000",24,2000-02-11,"Pensacola, Florida"
220,PHX,Saben Lee,38,G,"6' 2""",183,--,25,1999-06-23,"St. Louis, Missouri"
221,PHX,Damion Lee,10,SG,"6' 6""",210,"$2,528,233",31,1992-10-21,"Baltimore, Maryland"
222,PHX,Osasere Ighodaro,--,C,"6' 10""",222,--,21,2002-07-02,"Mesa, Arizona"
223,PHX,Eric Gordon,23,SG,"6' 3""",215,"$3,196,448",35,1988-12-25,"Indianapolis, Indiana"
224,PHX,Drew Eubanks,14,PF,"6' 10""",245,"$2,346,614",27,1997-02-01,"Starkville, Mississippi"
225,PHX,Kevin Durant,35,PF,"6' 11""",240,"$47,649,433",35,1988-09-29,"Washington, District of Columbia"
226,PHX,Ryan Dunn,--,F,"6' 6""",216,--,21,2003-01-07,"New Hyde Park, New York"
227,PHX,Devin Booker,1,SG,"6' 6""",206,"$36,016,200",27,1996-10-30,"Grand Rapids, Michigan"
228,PHX,Bol Bol,11,C,"7' 3""",220,"$2,019,706",24,1999-11-16,"Khartoum, Sudan"
229,PHX,Bradley Beal,3,SG,"6' 4""",207,"$46,741,590",31,1993-06-28,"St. Louis, Missouri"
230,PHX,Udoka Azubuike,27,C,"6' 11""",270,--,24,1999-09-17,"Lagos, Nigeria"
231,PHX,Grayson Allen,8,SG,"6' 4""",198,"$8,925,000",28,1995-10-08,"Jacksonville, Florida"
232,LAL,Christian Wood,35,F,"6' 8""",214,"$2,709,849",28,1995-09-27,"Long Beach, California"
233,LAL,Gabe Vincent,7,PG,"6' 2""",200,"$10,500,000",28,1996-06-14,"Modesto, California"
234,LAL,Jarred Vanderbilt,2,PF,"6' 8""",214,"$4,698,000",25,1999-04-03,"Houston, Texas"
235,LAL,D'Angelo Russell,1,PG,"6' 3""",193,"$17,307,693",28,1996-02-23,"Louisville, Kentucky"
236,LAL,Cam Reddish,5,SF,"6' 7""",217,"$2,165,000",24,1999-09-01,"Norristown, Pennsylvania"
237,LAL,Austin Reaves,15,SG,"6' 5""",197,"$12,015,150",26,1998-05-29,"Newark, Arkansas"
238,LAL,Taurean Prince,12,PF,"6' 6""",218,"$7,455,000",30,1994-03-22,"San Marcos, Texas"
239,LAL,Skylar Mays,4,SG,"6' 3""",205,--,26,1997-09-05,"Baton Rouge, Louisiana"
240,LAL,Maxwell Lewis,21,F,"6' 7""",195,"$1,119,563",21,2002-07-27,"Las Vegas, Nevada"
241,LAL,Dalton Knecht,4,G,"6' 5""",204,--,23,2001-04-19,"Fargo, North Dakota"
242,LAL,LeBron James,23,SF,"6' 9""",250,"$47,607,350",39,1984-12-30,"Akron, Ohio"
243,LAL,D'Moi Hodge,55,G,"6' 3""",188,--,25,1998-12-20,"Tortola, British Virg"
244,LAL,Jaxson Hayes,11,C,"7' 0""",220,"$2,165,000",24,2000-05-23,"Norman, Oklahoma"
245,LAL,Rui Hachimura,28,PF,"6' 8""",230,"$15,740,741",26,1998-02-08,"Toyama, Japan"
246,LAL,Harry Giles III,20,F,"6' 10""",240,--,26,1998-04-22,"Winston-Salem, North Carolina"
